"Gene" "SN. Somasekharan 2020" "T. Matheny 2019" "N. Curdy 2023" "A. Khong 2017" "T. Matheny 2021" "G. Di Timoteo 2024" "P. Kudrin 2024" "S. Rajachandran 2024" "Average" "Variance"
"AAAS" 3.06589524434106 3.19378005209023 3.29636025167111 -2.42320193975645 0.196453905321626 -3.16703113929579 1.56776693623601 -3.16556737495151 0.320556991957036 8.29473989788521
"AACS" -3.4573036979334 -0.640268512163852 2.89727866438611 -4.01581235625922 3.25970195859266 2.09152489196347 -0.307089364332507 6.91483300017181 0.842858073053134 13.444277121032
"AAGAB" 4.99965846109107 3.63655408151264 -0.17606150230874 -7.87768914410854 -0.708017562139018 -4.22842908532344 -0.209753996264574 -4.16468071415605 -1.09105243271208 18.0794849313471
"AAK1" -7.73833616878324 2.03678038552622 -3.46231398635316 -0.946363869818263 -1.44578856526514 -7.6024865274455 -0.325008818353765 -4.20553037854758 -2.96113099113005 12.0639131733495
"AAMP" 4.71436492154794 -1.8968674020804 1.46593761648513 0.202347297138638 4.67802823183603 8.71980912258371 7.36635902131415 -3.36381462349518 2.73577052316625 18.8050357942236
"AAR2" 3.0736283566854 3.78966241620836 1.68370209612212 1.69109704276179 0.165720915379515 1.29403042521605 1.1252874677365 -1.94556037250845 1.35969604345016 3.06666614672477
"AARS1" -7.06849034554557 -0.914704442143056 6.58042627528993 15.6364923176399 9.54184695070531 13.5821198742885 9.4119605898669 15.860911850006 7.82882038376349 66.2790090721335
"AARS2" -4.93186495904765 -0.899314062686471 1.99192744384001 6.52040265677668 3.27229039295429 14.4368324362907 1.57226220723285 -0.0658792224351718 2.73708211161565 33.3269856213482
"AASDH" -0.467963305799947 -0.324811572894546 2.04081090844642 2.07219393742447 1.14088785760285 -1.69012905645891 -2.31684345288644 4.25811051442818 0.58903197873276 4.80930711220205
"AASDHPPT" 1.46187132843099 -1.46492907347171 -2.12897183142786 -2.967180755881 3.94410197706916 -5.90521002930464 0.122900224293914 -7.97310286363951 -1.86381512799133 14.8346046646671
"AATF" 4.09387653059731 3.53093772117359 4.01028504817493 3.93021458060166 4.569705364075 -3.16345916537929 5.90943042446447 2.17593242724246 3.13211536636877 7.54583951211631
"ABCA2" -8.09083850750814 -0.303270992068152 -1.09263473214727 -3.35081159826759 -1.28793081888066 4.46572286778936 -10.0045705411391 1.02608402947292 -2.32978128659358 22.4711585716543
"ABCA3" -8.61695082356517 0.65985740963642 1.34567499858836 -0.00300276283528226 -0.210057920611516 5.706451678485 -4.17216132100363 1.47233311895111 -0.477231952794339 18.1226444016564
"ABCB10" -0.563641453008302 -6.53681134392816 -4.8510447003418 6.77774174534229 7.9966282231986 4.99200883929062 1.17581907285877 0.117053732121031 1.13846926444163 27.4873687451736
"ABCB7" 0.206296634976056 0.396687525736748 1.32433161330245 -8.21354102390616 -12.5047085244704 -9.86576806200127 -1.90159860272886 -1.03858438077686 -3.94961060248354 29.0023554107311
"ABCB8" -0.303494872833173 0.536648732986757 0.0184414855038613 -6.61558261292072 -4.0268498432729 -2.68706297292081 -10.1002185112349 3.43578703439902 -2.46779144503661 18.9544701526853
"ABCB9" 2.96565227778422 5.5130304969908 -1.11179876740195 -4.65525073204696 -8.4111986165725 0.823915967294697 -4.82930638388457 1.19597338798395 -1.06362279623154 21.3179084474827
"ABCC1" -8.13042681319753 2.34517779662456 0.487637792542816 0.181611905271029 1.75604793410549 5.75847504597738 -1.01964184689697 -1.74937436086833 -0.0463115683051944 16.0287191178501
"ABCC10" -1.503109631484 1.13997138933303 -1.8245029415469 -1.63841810799076 1.65182045589709 3.72102759740401 -7.5263338742383 5.22524760993462 -0.0942871878364012 15.7177784276484
"ABCC4" 2.5315750451154 2.42432172068702 -1.16140384719524 3.75516408270569 1.42155839968364 -1.48815133484066 0.344671019134192 -1.18071846318487 0.830877077763146 3.9945410473981
"ABCC5" -3.49610292290358 -2.74912811828976 0.856958239022439 -0.542569519294573 -0.334912043144961 11.2657988096313 -3.05836623785334 9.38558904108695 1.41590840603181 32.7491574056537
"ABCD1" -6.803717953546 -0.821460155890217 -0.103677148930093 0.816866870699256 0.228887343283216 9.66778981265313 0.0182109071061711 -2.73851925602539 0.0330475524187591 21.236146674189
"ABCD3" -2.8212002973455 -4.31684980119541 -0.731243395531388 4.6000766259999 5.97583331109957 0.778003658594283 8.86891284478796 -5.44358137083435 0.863743946946883 26.7039175699251
"ABCD4" -3.06440302251208 1.45855110238507 -2.70499417692563 -6.10038700609399 -2.71921580057855 -2.15019790418303 -5.73360434731676 -0.850141987808992 -2.73304914287925 5.98680531330038
"ABCE1" 0.864990572092225 0.173254956145284 0.427664249470753 -9.60294704688365 0.11173993659609 -11.763943282951 -3.3512489804699 -4.8811627996919 -3.50270654946151 24.0693652394507
"ABCF1" -2.53161686376044 2.24517912532225 5.33052672272689 7.38983568755251 4.90567838852435 16.6393442835545 10.514593012648 -1.39993099431073 5.38670117028217 39.3988050779694
"ABCF2" -3.78858019410967 3.30025246841833 3.50186447653844 0.115935746903585 -1.78594148058384 5.23656734105779 -1.2144585281165 -5.89494373118776 -0.0661629876349531 14.903282489197
"ABCF3" -0.714506662248623 1.90340212050748 3.16420797741175 9.45153510114092 3.60522546974045 13.7610124439168 7.00881057492284 3.04937127489544 5.15363228753588 21.6832837529589
"ABHD10" 4.26634252046352 -3.55820791723808 -3.16265089264079 0.353273767532985 2.21931734130029 -4.60994633296789 -0.375635791069796 -3.93306107634015 -1.10007104761999 10.4422115658943
"ABHD12" 5.45541631600428 1.24457934904769 -2.38074332322137 -4.99883131208378 -0.521820971942629 -2.08899474316993 1.65183302644905 -6.86711446314107 -1.06320951525722 15.3493559955666
"ABHD13" -0.888885012797284 -4.29732026254781 -5.97022482667111 -3.20728760664193 -0.781349546675278 -3.25953548242905 0.860029193235228 -3.40961375060895 -2.61927341189202 4.84325792064356
"ABHD17A" 0.246023154503701 1.22878958131142 0.428210547857976 -2.52744355865727 -0.281685153824897 -3.24077696190702 -1.74636676502336 0.800671406624436 -0.636572218639377 2.73897804984507
"ABHD17B" -1.43024580328931 -7.46682533718134 -2.75972203808938 5.60367529729905 10.9066660915003 8.64932275687128 2.32070726453866 1.99643114628368 2.22750117224162 37.1799719105316
"ABHD17C" -0.518726565824966 -6.42077669273647 -1.66477398628805 7.21009589726856 16.276275510942 15.6303810031127 3.49975577706173 0.871541469888277 4.36047155167797 66.6252197829623
"ABHD2" -4.3691273153142 0.77551243725344 -1.66740138590781 0.644355845833953 3.5371978876295 -3.45107633306565 3.45437406790569 1.18426053183744 0.0135119670215453 8.66307489295835
"ABHD3" -3.6684781441256 -2.12602980897735 -4.71932817794472 -1.99209030089645 2.25960457596455 3.02765297747256 -7.17141262327397 3.59491820919737 -1.34939541157295 15.4680520546077
"ABHD5" -3.319786309849 -2.78361053394281 -4.02071418144776 -10.3230856508707 -5.55931948758994 -8.03434721925339 -7.54571020540091 1.11803711985608 -5.0585670585623 12.919060150566
